,TF doc1,TF doc2,TF doc3,DF,IDF,TF-IDF doc1,TF-IDF doc2,TF-IDF doc3
eficácia,0.0,0.005076142131979695,0.0,1.0,0.6989700043360189,0.0,0.0035480710880000954,0.0
janeiro,0.0,0.01015228426395939,0.0,2.0,0.6989700043360189,0.0,0.007096142176000191,0.0
julho,0.0,0.005076142131979695,0.0,1.0,0.6989700043360189,0.0,0.0035480710880000954,0.0
voluntários,0.0,0.005076142131979695,0.0,1.0,0.6989700043360189,0.0,0.0035480710880000954,0.0
ofereceram,0.0,0.005076142131979695,0.0,1.0,0.6989700043360189,0.0,0.0035480710880000954,0.0
participar,0.0,0.005076142131979695,0.0,1.0,0.6989700043360189,0.0,0.0035480710880000954,0.0
cujos,0.0,0.005076142131979695,0.0,1.0,0.6989700043360189,0.0,0.0035480710880000954,0.0
critérios,0.0,0.005076142131979695,0.0,1.0,0.6989700043360189,0.0,0.0035480710880000954,0.0
elegibilidade,0.0,0.005076142131979695,0.0,1.0,0.6989700043360189,0.0,0.0035480710880000954,0.0
mesmos,0.0,0.005076142131979695,0.0,1.0,0.6989700043360189,0.0,0.0035480710880000954,0.0
aplicados,0.0,0.005076142131979695,0.0,1.0,0.6989700043360189,0.0,0.0035480710880000954,0.0
total,0.0,0.005076142131979695,0.0,1.0,0.6989700043360189,0.0,0.0035480710880000954,0.0
participantes,0.0,0.005076142131979695,0.005780346820809248,2.0,0.6989700043360189,0.0,0.0035480710880000954,0.004040289042404733
receberam,0.0,0.005076142131979695,0.0,1.0,0.6989700043360189,0.0,0.0035480710880000954,0.0
diagnóstico,0.0,0.01015228426395939,0.0,2.0,0.6989700043360189,0.0,0.007096142176000191,0.0
classificada,0.0,0.005076142131979695,0.0,1.0,0.6989700043360189,0.0,0.0035480710880000954,0.0
publicadas,0.0,0.005076142131979695,0.005780346820809248,2.0,0.6989700043360189,0.0,0.0035480710880000954,0.004040289042404733
várias,0.0,0.005076142131979695,0.0,1.0,0.6989700043360189,0.0,0.0035480710880000954,0.0
séries,0.0,0.005076142131979695,0.011560693641618497,3.0,0.6989700043360189,0.0,0.0035480710880000954,0.008080578084809466
retrospectivas,0.0,0.005076142131979695,0.0,1.0,0.6989700043360189,0.0,0.0035480710880000954,0.0
relatados,0.0,0.005076142131979695,0.005780346820809248,2.0,0.6989700043360189,0.0,0.0035480710880000954,0.004040289042404733
única,0.0,0.005076142131979695,0.0,1.0,0.6989700043360189,0.0,0.0035480710880000954,0.0
instituição,0.0,0.005076142131979695,0.0,1.0,0.6989700043360189,0.0,0.0035480710880000954,0.0
histologia,0.0,0.005076142131979695,0.0,1.0,0.6989700043360189,0.0,0.0035480710880000954,0.0
estadiamento,0.0,0.005076142131979695,0.0,1.0,0.6989700043360189,0.0,0.0035480710880000954,0.0
curiosamente,0.0,0.005076142131979695,0.0,1.0,0.6989700043360189,0.0,0.0035480710880000954,0.0
presença,0.0,0.005076142131979695,0.0,1.0,0.6989700043360189,0.0,0.0035480710880000954,0.0
escamosas,0.0,0.015228426395939087,0.0,3.0,0.6989700043360189,0.0,0.010644213264000288,0.0
exame,0.0,0.01015228426395939,0.0,2.0,0.6989700043360189,0.0,0.007096142176000191,0.0
histológico,0.0,0.01015228426395939,0.0,2.0,0.6989700043360189,0.0,0.007096142176000191,0.0
prevalente,0.0,0.005076142131979695,0.0,1.0,0.6989700043360189,0.0,0.0035480710880000954,0.0
serviços,0.0,0.005076142131979695,0.0,1.0,0.6989700043360189,0.0,0.0035480710880000954,0.0
passo,0.0,0.005076142131979695,0.0,1.0,0.6989700043360189,0.0,0.0035480710880000954,0.0
adenocarcinoma,0.0,0.015228426395939087,0.0,3.0,0.6989700043360189,0.0,0.010644213264000288,0.0
predomina,0.0,0.005076142131979695,0.0,1.0,0.6989700043360189,0.0,0.0035480710880000954,0.0
instituições,0.0,0.005076142131979695,0.0,1.0,0.6989700043360189,0.0,0.0035480710880000954,0.0
privadas,0.0,0.005076142131979695,0.0,1.0,0.6989700043360189,0.0,0.0035480710880000954,0.0
carcinoma,0.0,0.015228426395939087,0.0,3.0,0.6989700043360189,0.0,0.010644213264000288,0.0
cpcp,0.0,0.01015228426395939,0.0,2.0,0.6989700043360189,0.0,0.007096142176000191,0.0
raças,0.0,0.005076142131979695,0.0,1.0,0.6989700043360189,0.0,0.0035480710880000954,0.0
etnias,0.0,0.005076142131979695,0.0,1.0,0.6989700043360189,0.0,0.0035480710880000954,0.0
